매장명,위도,경도,주소
인천강화DT,37.7426,126.4916,인천광역시 강화군 강화읍 강화대로 343 
경인교대입구역DT,37.5355197,126.7221530,인천광역시 계양구 계양대로 131 (작전동)
인천계양,37.5398491,126.7350019,인천광역시 계양구 장제로 808 (계산동)
인천작전,37.527064,126.721981,"인천광역시 계양구 계양대로 37, 1층 (작전동)"
인천계산역DT,37.543529,126.729828,인천광역시 계양구 경명대로 1105 (계산동)
계양BMW,37.5322648,126.7564676,인천광역시 계양구 서운산단로2길 6 (서운동) BMW 바바리안모터스
계양구청,37.53877265879993,126.73864214746677,인천광역시 계양구 오조산로 85 (용종동)
인천학익DT,37.4403818,126.6627574,인천광역시 미추홀구 매소홀로 368 (학익동)
인천용현DT,37.4523373,126.6325809,인천광역시 미추홀구 아암대로 107 (용현동)
주안역,37.463837,126.68074,"인천광역시 미추홀구 주안로 100 (주안동) 1층,2층"
인하대,37.451827,126.654969,인천광역시 미추홀구 인하로 59 (용현동)
인천관교DT,37.4418295,126.6931839,인천광역시 미추홀구 경원대로 656 (관교동)
제물포역DT,37.466522,126.654075,인천광역시 미추홀구 경인로 103 (숭의동)
인천주안DT,37.4513564,126.6858992,인천광역시 미추홀구 인주대로 443 (주안동)
인천도화DT,37.47055,126.66703,인천광역시 미추홀구 장고개로 28 (도화동)
인하대역,37.447795,126.649875,인천광역시 미추홀구 독배로 309 (용현동)
SSG랜더스필드2F,37.436624,126.692362,인천광역시 미추홀구 매소홀로 618 (문학동)
SSG랜더스필드1F,37.436624,126.692362,인천광역시 미추홀구 매소홀로 618 (문학동)
인천용일사거리DT,37.4536849988819,126.668272868558,인천광역시 미추홀구 한나루로 525 (주안동)
송림트레이더스,37.48307,126.66043,"인천광역시 동구 봉수대로 82, 이마트 트레이더스송림점1층 (송림동)"
인천갈산DT,37.5189106,126.7321159,인천광역시 부평구 장제로 371 (갈산동)
인천삼산,37.507296,126.734181,인천광역시 부평구 길주로 643 (삼산동)
부평사거리,37.493886,126.721952,"인천광역시 부평구 부평문화로 52, 1~2층 (부평동)"
부평시장역,37.496786,126.72307,"인천광역시 부평구 부평대로 60, 현대해상화재보험 1층 (부평동)"
부평,37.49158659,126.7244861,인천광역시 부평구 경원대로 1397 (부평동)
부평역,37.491434,126.722134,"인천광역시 부평구 경원대로 1377, 1-4층 (부평동)"
인천테크노밸리,37.51499031498426,126.72650053682771,인천광역시 부평구 주부토로 236 (갈산동)
인천성모병원,37.4851159,126.7258465,인천광역시 부평구 동수로 56 (부평동)
동암역,37.471537,126.702361,"인천광역시 부평구 동암광장로 14, 1~2층 (십정동)"
인천스퀘어원,37.40590327607463,126.68250913502574,인천광역시 연수구 청능대로 210 (동춘동)
인천동춘DT,37.41243,126.664447,인천광역시 연수구 앵고개로 171 (동춘동)
인천송도,37.39658518373723,126.65155383174638,"인천광역시 연수구 컨벤시아대로 55 (송도동, 송도이안)"
송도트리플R,37.38058951045192,126.65916738736573,인천광역시 연수구 송도과학로16번길 33-1 (송도동)
인천송도DT,37.384821,126.644284,인천광역시 연수구 하모니로 136 (송도동)
인천연수,37.415072,126.677781,"인천광역시 연수구 용담로 115 (연수동) 105,106,203호"
송도캠퍼스타운역,37.38742756192408,126.66364758106691,인천광역시 연수구 송도과학로27번길 55 (송도동) 롯데캠퍼스타운
송도커넬워크,37.39890248614758,126.63640390431155,인천광역시 연수구 아트센터대로 131 (송도동)
송도센트럴파크,37.394656280123954,126.6415147616451,인천광역시 연수구 센트럴로 194 (송도동)
연수이마트,37.404386,126.681528,인천광역시 연수구 경원대로 184 (동춘동)
인천옥련DT,37.4213053772688,126.64516866057,인천광역시 연수구 능허대로 137 (옥련동)
송도캐슬파크,37.38454814870652,126.64119873759479,인천광역시 연수구 인천타워대로132번길 9 (송도동)
송도현대아울렛,37.381314,126.657929,인천광역시 연수구 송도국제대로 123 (송도동)
송도컨벤시아대로DT,37.3824512554796,126.636816667557,인천광역시 연수구 벤처로 10 (송도동)
검단사거리역,37.6025256,126.6574188,인천광역시 서구 완정로 172 (마전동)
인천청라센트럴,37.5343559,126.6492859,"인천광역시 서구 청라커낼로 300 (청라동, 청라센트럴에일린의뜰)"
인천청라한신,37.532212,126.647401,인천광역시 서구 청라커낼로260번길 27 (청라동)
인천당하DT,37.593418,126.675556,인천광역시 서구 원당대로 668 (당하동)
인천청라타워돔,37.533884,126.652098,인천광역시 서구 중봉대로 612번길 10-17
인천서구청DT,37.5424157,126.67636,인천광역시 서구 서곶로 277 (심곡동)
인천청라,37.531852,126.652141,인천광역시 서구 중봉대로 586번길 19
루원시티,37.5227753,126.6698189,"인천광역시 서구 가정로 437 (가정동, 루원시티 SK Leaders VIEW)"
인천공촌DT,37.55164,126.68534,인천광역시 서구 경명대로694번길 2 (공촌동)
인천청라DT,37.541371,126.647081,인천광역시 서구 국제대로 237 (청라동)
검단신도시,37.592603,126.71278,"인천광역시 서구 이음대로 392 (원당동)115,116,117,118,119호"
부평삼거리역DT,37.476788,126.710148,인천광역시 남동구 경인로 750 (간석동)
인천구월아시아드,37.442715,126.708511,인천광역시 남동구 인하로 556 (구월동)
인천터미널사거리,37.445260,126.700865,인천광역시 남동구 예술로 126 (구월동)
인천서창,37.424128,126.749997,"인천광역시 남동구 서창남로 51 (서창동) 101,102,103호"
인천간석DT,37.469719,126.690745,인천광역시 남동구 경원대로 974 (간석동)
인천예술회관역,37.449472,126.701438,인천광역시 남동구 예술로 174 (구월동) 흥국생명
구월로데오,37.44420071,126.7021764,"인천광역시 남동구 인하로 497-22, 2층 (구월동)"
구월길병원,37.45167435,126.7074902,"인천광역시 남동구 남동대로 773, , 14 삼성화재 인천사옥 (구월동)"
인천구월,37.4462001,126.70099720000007,"인천광역시 남동구 예술로 138 (구월동) 101,102,111,201,209호 일부,210호 일부"
인천논현,37.39952,126.72492,"인천광역시 남동구 논고개로 93, 111,112, 206, 207호 (논현동)"
인천구월중앙,37.45587,126.71496,인천광역시 남동구 용천로 70 (구월동)
간석중앙공원DT,37.463301,126.700723,인천광역시 남동구 경인로 563 (간석동)
영종하늘도시,37.48964311698442,126.5614096679929,인천광역시 중구 하늘중앙로195번길 15 (중산동)
인천공항T2출국,37.4691084,126.4346961,인천광역시 중구 공항로 272 (운서동)
인천공항T2에어,37.465769,126.433126,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 3층 탑승지역 25-235
인천공항T2입국,37.46783,126.4323,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 1층 환영홀지역 23-202
영종도운서역,37.493991,126.492667,인천광역시 중구 신도시남로142번길 17 (운서동)
인천공항중앙,37.449611,126.450031,인천광역시 중구 공항로 272 (운서동) 인천국제공항여객터미널 FB-P5-73
인천공항랜드,37.448963190910085,126.45147223073314,인천광역시 중구 공항로 272 (운서동) 인천공항
